,Date - Heure,target,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
6823,2025-10-12 07:00:00+01:00,37396.25,-2.4563475,0.654631,1.9561712,-0.72955,-0.85743594,0.1633035,-0.40242952,0.7861241,-0.28052652,0.5586021,0.10459668,-0.013660021,0.12952463,-0.40320155,0.18415529,-0.5365872,-0.027484754,-0.4568786
2838,2025-04-29 06:00:00+01:00,43681.75,0.68237036,-0.8387776,0.9516505,0.35072896,1.405235,1.1067178,0.82764846,-0.5023655,-0.38558453,0.3822026,-0.36727163,-0.2149611,-0.6115812,-0.41888413,0.29705685,0.24149765,0.32367164,1.1590059
5715,2025-08-27 03:00:00+01:00,35054.25,-2.0439222,-0.26581272,1.642452,-1.2049797,-1.1147501,-0.43284494,-1.1147091,-0.041316167,-0.27738407,1.1813018,-0.17435785,-1.5737113,0.22234556,-0.02966963,0.3439117,0.29771838,-0.41778535,1.4384012
199,2025-01-09 07:00:00+01:00,62588.75,3.730845,5.7987704,-0.605184,0.34293437,0.19495128,-1.5585395,-0.54977435,-0.64745,-0.27629578,1.2437754,-1.7468479,1.0681382,0.107185274,0.34376025,1.3339592,0.27303055,-0.0029388573,-0.08569629
5824,2025-08-31 16:00:00+01:00,38543.5,-2.9113915,-0.34159175,-0.64869773,-0.050959367,-0.0018818704,-0.21761414,-0.4309812,0.5982692,-0.54863274,0.42631474,1.0721787,1.4877385,0.12566781,0.22628058,0.85603666,-0.3000087,-0.09984351,0.0021542106
6675,2025-10-06 03:00:00+01:00,36009.75,-2.7101493,-0.44104928,-0.24416074,-0.14717548,-1.6074822,0.7059196,-0.806481,-0.40424308,0.8099728,1.5641356,1.0764096,-0.034985032,0.7110065,-0.33857936,0.89660746,0.4344733,0.27373043,0.6659105
117,2025-01-05 21:00:00+01:00,55668.0,1.3951106,6.2095428,-1.9456733,1.6791441,-0.050016306,0.5671578,0.22689478,-0.46276608,0.54672897,1.0325838,-1.6380847,-1.4016926,0.21422154,0.620649,0.21585001,-0.3855607,0.25347707,0.9286876
5009,2025-07-28 17:00:00+01:00,43929.0,-2.4623234,-0.087233104,0.14233065,-0.7825561,-0.2673144,-0.9339584,-1.0852271,0.023647761,-0.20538504,-1.0079125,0.63866264,0.12981956,-0.17610142,0.6799848,0.32736415,-0.08604907,-0.84016156,-0.2186319
1071,2025-02-14 15:00:00+01:00,61746.0,3.0436053,0.23033215,-1.2250848,-0.868279,-1.6996112,-2.8053756,-0.40597916,-0.55841535,-0.96805006,-0.47707266,1.081842,-0.33785814,0.111957975,0.31774732,0.43292266,0.45950827,1.1995157,1.5383278
7342,2025-11-02 22:00:00+01:00,45861.25,-0.76923937,2.583132,2.3152456,-0.16380052,-0.7437345,0.059397068,0.45225677,-1.1943655,0.60828006,0.06380038,-0.49521133,0.085409015,-0.2799335,-0.39067328,0.00550662,0.16741902,0.39862853,-0.15244654
